fecproc;dni;id;fecemi;infg;monto;infi;infj;cuota;saldo;infm;info;data2;data3;data4
20240130;103001577;1;20220815;2;3000;REG;;1500;543.34;0;0;0;19000101;20231221
20240130;103001577;2;20220914;2;3281.54;REG;;1707.15;419.06;0;0;0;19000101;20231221
20240130;103001577;3;20221014;2;3369.18;REG;;1803.55;322.66;0;0;0;19000101;20231221
20240130;103001577;4;20221114;2;3435.98;REG;;1897.82;228.39;0;0;0;19000101;20231221
20240130;103001577;5;20221214;2;3532.89;REG;;2012.61;113.65;0;0;0;19000101;20231221
20240130;105000567;1;20220815;3;0;REG;;795.55;186.96;0;33.65;3.5;20220715;20220715
20240130;105000567;2;20220915;3;0;REG;;851.7;144.46;0;26;3.5;20220723;20220723
20240130;105000567;3;20221015;2;1706.24;REG;;899.95;95.69;0;0.38;3.5;19000101;20220725
20240130;105000567;4;20221115;2;1712.79;REG;;952.8;50.89;0;0;0;19000101;
20240130;105000570;1;20220715;3;0;REG;;665.94;184.16;0;33.15;4.67;20220716;20220716
20240130;105000570;2;20220815;2;1545.54;REG;;729.51;130.29;0;0;0;19000101;20220723
20240130;105000570;3;20220915;2;1553.35;REG;;777.56;89.57;0;0;0;19000101;20220723
20240130;105000570;4;20221017;2;1559.68;REG;;826.99;47.69;0;0;0;19000101;20220725
20240130;105000571;1;20220712;2;1217.21;REG;;524.61;167.46;0;0;0;19000101;20220715
20240130;105000571;2;20220811;2;1233.29;REG;;564.56;133.6;0;0;0;19000101;20220715
20240130;105000571;3;20220912;2;1231.07;REG;;592.17;110.2;0;0;0;19000101;20220723
20240130;105000571;4;20221011;2;1246.46;REG;;641.1;68.74;0;0;0;19000101;20220725
20240130;105000571;5;20221111;2;1248.43;REG;;677.56;37.82;0;0;0;19000101;
20240130;103001620;1;20221119;3;0;REG;;35.54;117.77;0;21.2;3.5;20220716;20220716
20240130;103001620;2;20221219;2;264.76;REG;;146.2;23.99;0;4.32;3.5;19000101;20220722
20240130;103001620;3;20230119;2;275.77;REG;;154.45;17;0;3.06;0;19000101;
20240130;103001620;4;20230220;2;274.27;REG;;163.81;9.04;0;1.63;0;19000101;
20240130;103001622;1;20221119;3;0;REG;;35.54;117.77;0;21.2;3.5;20220718;20220718
20240130;103001622;2;20221219;3;0;REG;;146.2;23.99;0;4.32;3.5;20220718;20220718
